,id,title,type_id,type_title,date,coords,geo_type,latitude,longitude,geometries,geometry
0,EONET_5167,Tropical Cyclone Nivar,10,Severe Storms,2020-11-23T12:00:00Z,"[83.8, 9.8]",Point,9.8,83.8,POINT (83.8 9.800000000000001),POINT (83.8 9.800000000000001)
1,EONET_5165,Tropical Cyclone Gati,10,Severe Storms,2020-11-21T18:00:00Z,"[55.5, 10.8]",Point,10.8,55.5,POINT (55.5 10.8),POINT (55.5 10.8)
2,EONET_5162,"Wildfire - SE of Parowan, Utah - United States",8,Wildfires,2020-11-19T09:40:00Z,"[-112.682747893, 37.600131437]",Point,37.600131437,-112.682747893,POINT (-112.682747893 37.600131437),POINT (-112.682747893 37.600131437)
3,EONET_5163,"Wildfires - Washoe County (Pinehaven Fire), Nevada, United States",8,Wildfires,2020-11-18T13:59:00Z,"[-119.86343, 39.46996]",Point,39.46996,-119.86343,POINT (-119.86343 39.46996),POINT (-119.86343 39.46996)
4,EONET_5159,"Wildfire - S of Carson City (Mountain View Fire), Nevada - United States",8,Wildfires,2020-11-17T21:39:00Z,"[-119.46311, 38.52867]",Point,38.52867,-119.46311,POINT (-119.46311 38.52867),POINT (-119.46311 38.52867)
5,EONET_5160,Mountain View Fire,8,Wildfires,2020-11-17T14:30:00Z,"[-119.466, 38.528]",Point,38.528,-119.466,POINT (-119.466 38.528),POINT (-119.466 38.528)
6,EONET_5164,Laura 2 Fire,8,Wildfires,2020-11-17T12:00:00Z,"[-120.115, 40.334]",Point,40.334,-120.115,POINT (-120.115 40.334),POINT (-120.115 40.334)
7,EONET_5158,"Wildfire - E of San Luis Obispo, California - United States",8,Wildfires,2020-11-15T21:36:00Z,"[-120.061260109, 35.381541734]",Point,35.381541734,-120.061260109,POINT (-120.061260109 35.381541734),POINT (-120.061260109 35.381541734)
8,EONET_5166,"White Island Volcano, New Zealand",12,Volcanoes,2020-11-12T00:00:00Z,"[177.18, -37.52]",Point,-37.52,177.18,POINT (177.18 -37.52),POINT (177.18 -37.52)
9,EONET_5154,"Wildfire - N of Coos Bay, Oregon - United States",8,Wildfires,2020-11-11T21:34:00Z,"[-124.051218623, 44.001959109]",Point,44.001959109,-124.051218623,POINT (-124.051218623 44.001959109),POINT (-124.051218623 44.001959109)
10,EONET_5153,"Wildfire - S of Coos Bay, Oregon - United States",8,Wildfires,2020-11-10T21:32:00Z,"[-124.19652481, 43.227450629]",Point,43.227450629,-124.19652481,POINT (-124.19652481 43.227450629),POINT (-124.19652481 43.227450629)
11,EONET_5152,"Wildfires - Tipaza Province, Algeria",8,Wildfires,2020-11-09T19:31:00Z,"[2.43675, 36.57732]",Point,36.57732,2.43675,POINT (2.43675 36.57732),POINT (2.43675 36.57732)
12,EONET_5155,"Barren Island Volcano, India",12,Volcanoes,2020-11-05T00:00:00Z,"[93.855, 12.278]",Point,12.278,93.855,POINT (93.855 12.278),POINT (93.855 12.278)
13,EONET_5147,"Wildfire - Pinto Commune (Reserva Nuble Fire), Chile",8,Wildfires,2020-11-04T16:34:00Z,"[-71.89475, -36.7036]",Point,-36.7036,-71.89475,POINT (-71.89475 -36.7036),POINT (-71.89475 -36.7036)
14,EONET_5148,"Katmai Volcano, Alaska",12,Volcanoes,2020-10-31T00:00:00Z,"[-154.963, 58.28]",Point,58.28,-154.963,POINT (-154.963 58.28),POINT (-154.963 58.28)
15,EONET_5142,Sourdough Fire,8,Wildfires,2020-10-30T14:30:00Z,"[-112.975, 44.666]",Point,44.666,-112.975,POINT (-112.975 44.666),POINT (-112.975 44.666)
16,EONET_5141,"Wildfire - N of Yuba City, California - United States",8,Wildfires,2020-10-28T21:31:00Z,"[-121.616565331, 39.238977316]",Point,39.238977316,-121.616565331,POINT (-121.616565331 39.238977316),POINT (-121.616565331 39.238977316)
